iter	Passed	Remaining
290	2894	1084
291	2904	1074
292	2912	1063
293	2923	1054
294	2933	1044
295	2943	1034
296	2955	1024
297	2967	1015
298	2977	1005
299	2989	996
300	3097	1018
301	3125	1014
302	3206	1026
303	3234	1021
304	3256	1014
305	3324	1021
306	3399	1029
307	3422	1022
308	3468	1021
309	3492	1013
310	3540	1013
311	3573	1007
312	3606	1002
313	3688	1010
314	3718	1003
315	3735	992
316	3746	980
317	3757	968
318	3768	956
319	3780	945
320	3795	934
321	3808	922
322	3822	911
323	3834	899
324	3849	888
325	3862	876
326	3873	864
327	3887	853
328	3897	841
329	3908	828
330	3920	817
331	3932	805
332	3946	794
333	3957	782
334	3975	771
335	3988	759
336	4001	748
337	4012	736
338	4031	725
339	4043	713
340	4056	701
341	4068	689
342	4077	677
343	4090	665
344	4100	653
345	4112	641
346	4124	629
347	4138	618
348	4152	606
349	4162	594
350	4173	582
351	4184	570
352	4193	558
353	4205	546
354	4220	534
355	4232	523
356	4242	510
357	4257	499
358	4272	487
359	4284	476
360	4297	464
361	4310	452
362	4321	440
363	4333	428
364	4344	416
365	4355	404
366	4370	393
367	4385	381
368	4395	369
369	4405	357
370	4416	345
371	4427	333
372	4441	321
373	4451	309
374	4463	297
375	4474	285
376	4484	273
377	4498	261
378	4513	250
379	4529	238
380	4541	226
381	4553	214
382	4564	202
383	4577	190
384	4588	178
385	4602	166
386	4612	154
387	4625	143
388	4638	131
389	4649	119
390	4660	107
391	4673	95
392	4684	83
393	4694	71
394	4705	59
395	4718	47
396	4729	35
397	4740	23
398	4753	11
399	4763	0
